,ID,condition,coords
e185,e185,e,"[[586.      387.33334]
 [576.6667  460.66666]
 [518.6667  405.33334]
 [524.      464.66666]
 [545.3333  336.     ]
 [449.33334 437.33334]
 [548.      426.     ]
 [504.66666 441.33334]
 [527.3333  425.33334]
 [483.33334 472.     ]
 [494.      484.     ]]"
e4020a,e4020a,e,"[[599.  545. ]
 [641.5 517.5]]"
e4010,e4010,e,"[[674. 662.]
 [737. 662.]]"
e197,e197,e,"[[743.6667 473.    ]
 [705.     542.3333]
 [668.3333 554.3333]
 [579.     628.3333]
 [589.6667 645.6667]
 [666.3333 736.3333]
 [709.     752.3333]
 [641.     654.3333]
 [628.3333 639.6667]
 [630.3333 603.    ]]"
e320,e320,e,"[[603.5 521.5]
 [660.5 526. ]
 [644.  562.5]
 [669.  509. ]]"
d2093,d2093,d,"[[693.     533.    ]
 [690.3333 551.6667]
 [804.3333 566.3333]]"
v480,v480,v,"[[432.5 386.5]
 [410.  403. ]
 [410.5 412.5]]"
v23,v23,v,"[[747.      464.66666]
 [679.6667  440.     ]
 [627.6667  434.     ]
 [688.6667  530.3333 ]]"
v40,v40,v,"[[1206.5     943.5   ]
 [1164.      945.3333]
 [1161.25    911.    ]]"
e4052a,e4052a,e,"[[433.33334 517.     ]
 [479.33334 511.     ]
 [416.      485.66666]
 [482.      427.     ]
 [603.3333  542.6667 ]]"
e2,e2,e,"[[779.3333 715.3333]
 [759.3333 743.3333]
 [696.6667 736.6667]]"
d469,d469,d,"[[798.  493. ]
 [705.5 511.5]
 [630.5 547.5]
 [626.  497.5]]"
v1320,v1320,v,"[[624.      318.     ]
 [622.3333  371.33334]
 [684.3333  353.33334]
 [545.      415.33334]]"
d577,d577,d,"[[755.3333  301.66666]
 [636.6667  311.66666]
 [640.      350.33334]
 [577.3333  408.33334]]"
e140,e140,e,"[[707.5 886.5]
 [850.5 811.5]
 [830.5 807. ]]"
e298,e298,e,"[[642.     473.    ]
 [744.6667 518.3333]
 [756.6667 573.    ]
 [736.     575.3333]
 [614.     549.6667]
 [717.     544.6667]
 [703.3333 458.    ]]"
e2720,e2720,e,"[[702.3333 493.    ]
 [610.     516.5   ]
 [646.75   510.25  ]]"
e13,e13,e,"[[694.6667 277.    ]
 [639.6667 305.5   ]]"
v290a,v290a,v,"[[497.5 511.5]
 [484.  499. ]
 [601.5 507.5]
 [431.  582.5]
 [671.5 477. ]
 [644.  424.5]]"
v4134,v4134,v,"[[690.6667 649.6667]
 [590.     676.3333]
 [506.     659.    ]
 [671.5    628.    ]]"
d553,d553,d,"[[484.      550.     ]
 [496.66666 574.6667 ]
 [462.      613.3333 ]]"
