,ID,condition,coords
d545,d545,d,"[[594. 494.]
 [670. 585.]
 [653. 572.]]"
d445,d445,d,"[[376.  624.5]
 [352.5 505. ]
 [465.  532. ]]"
d549,d549,d,"[[638.  401. ]
 [681.  424. ]
 [673.5 466.5]]"
d502,d502,d,"[[649.6667  434.33334]
 [695.      509.     ]
 [795.      530.3333 ]]"
d241,d241,d,"[[500.5    528.    ]
 [538.     563.    ]
 [524.6667 584.6667]]"
e290,e290,e,"[[774.5 601.5]
 [632.5 547.5]
 [661.  540. ]
 [630.5 464.5]
 [586.  458. ]
 [810.5 541.5]
 [659.  512. ]]"
e216,e216,e,"[[720.  590.5]
 [832.  660. ]
 [750.  455.5]
 [610.5 458. ]
 [750.  559. ]
 [790.5 601.5]
 [665.  457. ]
 [701.  433.5]
 [706.  514. ]
 [870.5 687. ]]"
d596,d596,d,"[[738.     723.3333]
 [796.     745.3333]
 [644.     711.3333]
 [733.3333 661.3333]]"
e4049,e4049,e,"[[ 436.5      467.     ]
 [ 378.5      479.     ]
 [1013.6667   100.     ]
 [ 977.       100.     ]
 [1040.3334   134.     ]
 [1023.6667   165.33333]]"
e4034,e4034,e,"[[ 935.6667   362.     ]
 [ 952.3333   439.33334]
 [ 952.3333   512.     ]
 [1014.3333   452.33334]
 [ 872.3333   359.66666]]"
e204,e204,e,"[[930.      261.     ]
 [928.      306.33334]
 [858.6667  399.     ]
 [832.      416.33334]
 [817.3333  495.66666]
 [820.6667  544.3333 ]
 [762.6667  467.     ]
 [730.6667  545.     ]
 [700.6667  562.3333 ]
 [936.6667  469.33334]
 [954.6667  433.33334]
 [884.      482.     ]
 [898.6667  360.     ]
 [945.3333  295.33334]
 [958.6667  278.66666]]"
e4038,e4038,e,"[[742.        40.      ]
 [856.        81.333336]
 [876.       100.      ]
 [897.3333    88.666664]]"
e185,e185,e,"[[586.      387.33334]
 [576.6667  460.66666]
 [518.6667  405.33334]
 [524.      464.66666]
 [545.3333  336.     ]
 [449.33334 437.33334]
 [548.      426.     ]
 [504.66666 441.33334]
 [527.3333  425.33334]
 [483.33334 472.     ]
 [494.      484.     ]]"
e4020a,e4020a,e,"[[599.  545. ]
 [641.5 517.5]]"
e4010,e4010,e,"[[674. 662.]
 [737. 662.]]"
e197,e197,e,"[[743.6667 473.    ]
 [705.     542.3333]
 [668.3333 554.3333]
 [579.     628.3333]
 [589.6667 645.6667]
 [666.3333 736.3333]
 [709.     752.3333]
 [641.     654.3333]
 [628.3333 639.6667]
 [630.3333 603.    ]]"
d2093,d2093,d,"[[693.     533.    ]
 [690.3333 551.6667]
 [804.3333 566.3333]]"
