,ID,condition,coords
e299,e299,e,"[[755.5 340.5]
 [765.  353.5]
 [776.  371. ]
 [785.5 390. ]
 [793.  407. ]
 [799.  428. ]
 [802.5 441.5]
 [805.  452. ]
 [811.  461. ]
 [811.  471. ]
 [813.  478.5]
 [816.5 490. ]
 [820.5 498.5]]"
d256,d256,d,"[[737.5     405.16666]
 [745.1667  413.8333 ]
 [755.8333  421.8333 ]
 [763.5     429.16666]
 [770.8333  435.8333 ]
 [779.1667  441.16666]
 [788.1667  450.8333 ]
 [795.1667  458.5    ]
 [804.5     465.16666]
 [821.1667  474.8333 ]
 [833.5     481.8333 ]
 [843.5     487.16666]]"
d507,d507,d,"[[818.1667 593.5   ]
 [843.5    590.5   ]
 [864.1667 585.1667]
 [880.5    580.5   ]
 [900.1667 574.1667]
 [914.5    567.5   ]
 [929.1667 560.8333]
 [940.1667 557.1667]]"
d407,d407,d,"[[514.   622.5 ]
 [520.25 627.5 ]
 [529.25 634.25]
 [534.25 639.  ]
 [541.   643.5 ]
 [548.25 647.  ]
 [556.75 650.75]
 [567.5  657.  ]
 [573.   659.25]
 [579.5  662.25]
 [586.5  665.25]
 [593.   667.5 ]
 [605.75 669.75]]"
d136,d136,d,"[[533.5   470.75 ]
 [546.5   467.5  ]
 [557.75  464.25 ]
 [569.    460.25 ]
 [581.25  457.25 ]
 [589.75  454.   ]
 [600.    454.5  ]
 [611.25  454.75 ]
 [622.75  453.25 ]
 [632.25  450.25 ]
 [636.75  449.   ]
 [636.75  449.125]]"
e4011,e4011,e,"[[389.      624.     ]
 [384.      610.     ]
 [377.16666 592.8333 ]
 [371.83334 574.1667 ]
 [362.83334 557.8333 ]
 [357.16666 546.1667 ]
 [348.5     531.8333 ]
 [341.83334 520.8333 ]
 [335.16666 504.16666]]"
e184,e184,e,"[[681.8333  527.8333 ]
 [692.1666  519.5    ]
 [702.8333  510.8333 ]
 [708.8333  501.8333 ]
 [717.8333  490.8333 ]
 [726.8333  480.16666]
 [734.1666  473.16666]
 [738.8333  465.16666]]"
d124,d124,d,"[[1214.8334   314.5    ]
 [1201.1667   309.16666]
 [1187.1667   303.5    ]
 [1172.5      298.83334]
 [1164.8334   293.83334]
 [1157.5      289.83334]
 [1150.5      284.83334]
 [1144.1667   281.16666]
 [1135.8334   274.83334]
 [1124.1667   269.83334]
 [1114.1667   265.83334]
 [1104.5      261.83334]
 [1095.8334   257.16666]
 [1087.5      252.5    ]
 [1075.8334   246.5    ]
 [1075.8334   246.83334]
 [1076.1667   246.83334]]"
e4003,e4003,e,"[[465.5     433.5    ]
 [470.5     458.16666]
 [477.83334 489.5    ]
 [483.83334 532.8333 ]
 [483.83334 556.1667 ]
 [474.83334 590.8333 ]
 [469.83334 621.5    ]
 [469.83334 635.8333 ]]"
e196,e196,e,"[[642.  992.5]
 [646.  977.5]
 [659.  962.5]
 [672.  947.5]
 [684.  937. ]
 [698.  926. ]
 [720.  909.5]
 [738.  896. ]
 [754.  886.5]
 [767.5 877.5]
 [787.  872.5]
 [802.  867.5]]"
e221,e221,e,"[[725.5 475. ]
 [724.  487.5]
 [727.  507.5]
 [733.  525.5]
 [736.  541. ]
 [743.  558.5]
 [748.5 570.5]
 [755.5 583. ]
 [762.5 594.5]
 [769.  600. ]]"
e274,e274,e,"[[704.25 450.5 ]
 [703.   460.25]
 [701.75 473.  ]
 [702.   486.5 ]
 [700.75 492.75]
 [699.5  499.  ]
 [699.   509.5 ]
 [696.75 522.  ]
 [695.75 533.  ]
 [693.5  545.25]
 [691.75 557.5 ]
 [687.   571.25]
 [685.5  583.5 ]
 [684.   591.  ]
 [682.   594.  ]
 [681.25 603.75]]"
d589,d589,d,"[[469.5     722.1667 ]
 [477.16666 719.1667 ]
 [488.16666 722.8334 ]
 [498.16666 726.5    ]
 [511.5     731.1667 ]
 [525.1667  734.8334 ]
 [533.5     735.1667 ]
 [544.8333  738.5    ]
 [557.8333  740.8334 ]
 [571.1667  743.1667 ]
 [580.5     744.1667 ]
 [587.5     743.8334 ]
 [594.1667  748.5    ]
 [598.5     749.8334 ]
 [606.8333  755.1667 ]
 [617.5     759.1667 ]]"
e209,e209,e,"[[510.16666 618.8333 ]
 [516.1666  610.1666 ]
 [521.8333  597.5    ]
 [527.5     586.5    ]
 [533.8333  576.5    ]
 [539.5     565.8333 ]
 [546.8333  553.5    ]
 [550.8333  542.8333 ]
 [560.1666  529.8333 ]
 [568.1666  514.8333 ]]"
v6010,v6010,v,"[[2699 3375]
 [2709 3411]
 [2713 3453]
 [2715 3484]
 [2710 3531]
 [2713 3555]
 [2700 3615]
 [2693 3651]
 [2683 3703]
 [2669 3756]
 [2664 3789]]"
e4048,e4048,e,"[[481.  391. ]
 [491.  396. ]
 [510.  403.5]
 [526.  405.5]
 [536.5 405. ]
 [550.5 405. ]
 [568.  407.5]
 [577.5 411. ]
 [595.  411.5]
 [616.5 410.5]
 [633.  413.5]
 [653.5 418.5]
 [668.  422.5]
 [689.  434. ]]"
e4039,e4039,e,"[[636.5 617.5]
 [620.5 596. ]
 [610.  576. ]
 [598.  562.5]
 [589.  545. ]
 [575.5 529.5]
 [564.  513. ]
 [551.  492. ]
 [540.  471. ]
 [530.  446. ]]"
e4044,e4044,e,"[[654.8333 636.5   ]
 [661.5    620.5   ]
 [667.5    606.1667]
 [670.5    594.1667]
 [674.5    584.5   ]
 [681.8333 575.1667]
 [691.1666 560.5   ]
 [697.5    549.1667]
 [704.8333 536.8333]]"
e4027,e4027,e,"[[771.5     265.16666]
 [791.5     248.83333]
 [811.5     234.49998]
 [825.8333  225.83333]
 [847.8333  217.49998]
 [874.1667  217.16666]]"
e205,e205,e,"[[661.8333  492.16666]
 [661.1666  496.8333 ]
 [666.5     506.8333 ]
 [668.5     514.5    ]
 [671.1666  523.5    ]
 [672.8333  530.8333 ]
 [674.5     540.8333 ]
 [676.5     551.5    ]
 [679.8333  560.5    ]
 [684.1666  573.8333 ]
 [690.5     595.5    ]
 [693.8333  614.1666 ]]"
